OBJECTID,TERMINAL,TERM_ADDRE
160,"St. Louis, MO",333 East Carrie Avenue
161,"St. Louis, MO - Dupo",Highway 3 & State Street
162,"St. Louis, MO - Lindenwood",3500 Wellington Avenue
163,"St. Paul, MN - Midway",1701 Pierce Butler Route
164,"Stackbridge, MA",53 Wiser Avenue
165,"Stockton, CA",6540 South Austin Road
166,"Syracuse, NY",600 Fremont Road
167,"Tacoma, WA - North Yard",711 Port of Tacoma Road
168,"Tacoma, WA - South Yard",1101 Milwaukee Way
169,"Tacoma, WA - Tacoma South (TacSim)",1738 Milwaukee Way
170,"Tampa, FL",1901 North 62nd Street
171,"Taylor, PA",One Depot Street
172,"Terminal Island, CA - Global Gateway South",614 Terminal Way
173,"Terminal Island, CA - Pier 400 (APM Terminals Pacific)",2500 Navy Way
174,"Terminal Island, CA - Total Terminals International (TTI/Pier T)",301 Mediterranean Way
175,"Toledo, OH",2101 Hill Avenue
176,"Tucson, AZ",6800 E. Century Park Drive
177,"Wilmington, CA - TraPac Intermodal Container Transfer Facility",630 West Harry Bridges Boulevard
178,"Wilmington, NC - Container Terminal",1 Shipyard Boulevard
179,"Winter Haven, FL - Central Florida Intermodal Logistics Center (CFILC)",3935 Intermodal Drive
180,"Worcester, MA",165 Grafton Street
181,"Wylie, TX",2800 State Highway 78 North
